NR_155042.1	Diutina siamensis DMKU RE43 ITS region; from TYPE material
NR_155041.1	Dinemasporium iriomotense HHUF 30112 ITS region; from TYPE material
NR_155040.1	Dinemasporium parastrigosum HHUF 29997 ITS region; from TYPE material
NR_155039.1	Dinemasporium pseudodecipiens HHUF 30109 ITS region; from TYPE material
NR_155038.1	Dinemasporium sasae HHUF 27379 ITS region; from TYPE material
NR_155037.1	Dinemasporium japonicum HHUF 30103 ITS region; from TYPE material
NR_155036.1	Dinemasporium rishiriense HHUF 29964 ITS region; from TYPE material
NR_155035.1	Dinemasporium bambusicola HHUF 29983 ITS region; from TYPE material
NR_155033.1	Polyporus thailandensis MSUT 6734 ITS region; from TYPE material
NR_155032.1	Conocybe confundens LE 313077 ITS region; from TYPE material
NR_155031.1	Conocybe incerta LE 313017 ITS region; from TYPE material
NR_155030.1	Conocybe coniferarum LE 313009 ITS region; from TYPE material
NR_155029.1	Conocybe praticola LE 313010 ITS region; from TYPE material
NR_155028.1	Conocybe olivaceopileata LE 313106 ITS region; from TYPE material
NR_155027.1	Phanerochaete concrescens H Spirin 7322 ITS region; from TYPE material
NR_155026.1	Phanerochaete rhodella CFMR FD-286 ITS region; from TYPE material
NR_155025.1	Phanerochaete sanguineocarnosa CFMR FD-528 ITS region; from TYPE material
NR_155024.1	Phanerochaete pseudosanguinea CFMR FD-244 ITS region; from TYPE material
NR_155023.1	Phanerochaete citrinosanguinea CFMR FD-287 ITS region; from TYPE material
NR_155022.1	Paracoccidioides lutzii ATCC MYA 826 ITS region; from TYPE material
NR_155021.1	Hericium yumthangense BSHC KD-11-146 ITS region; from TYPE material
NR_155020.1	Amylostereum orientale BJFC He479 ITS region; from TYPE material
NR_155019.1	Tolypocladium ovalisporum CBS 700.92 ITS region; from TYPE material
NR_155018.1	Tolypocladium album CBS 869.73 ITS region; from TYPE material
NR_155013.1	Wickerhamomyces xylosivorus NBRC 111553 ITS region; from TYPE material
NR_155012.1	Wickerhamomyces silvicola CBS 1705 ITS region; from TYPE material
NR_155011.1	Clavispora opuntiae CBS 7068 ITS region; from TYPE material
NR_155010.1	[Candida] tsuchiyae CBS 7195 ITS region; from TYPE material
NR_155009.1	[Candida] tolerans CBS 8613 ITS region; from TYPE material
NR_155008.1	[Candida] suratensis CBS 10928 ITS region; from TYPE material
